peril	n. 严重危险
glimpse	v. 瞥见 n. 一瞥
pack	v. 将……打包 n.（商品的）纸包；纸袋；纸盒
court	n. 法庭；球场；宫廷
pierce	v. 刺穿；穿透
thorough	a. 彻底的；全面的
trial	n. 审讯；试验；考验
trail	n. 痕迹；小径 v. 跟踪；拖；拉
recognize	v. 识别出；承认
recognition	n. 认出；承认
loyal	a. 忠诚的；忠心的
loyalty	n. 忠诚；忠实
dizzy	a. 头晕目眩的；眩晕的
crash	v. & n. 碰撞；撞击
sincere	a. 真诚的；诚挚的；诚实的
sincerely	ad. 真诚地；诚实地
famine	n. 饥荒
choke	v. 窒息；阻塞
mineral	n. 矿物；矿物质
favor	n. 帮助；赞同 v. 较喜欢；有助于
echo	n. 回声；反响 vi. 发出回声
stretch	v. & n. 伸展；张开；延伸
glance	n. 一瞥 vi. 瞥一眼；浏览
grant	vt. 授予；允许；承认 n. 拨款；补助金
pattern	n. 模式；方式；范例；图案
poem	n. 诗
poetry	n. 诗集；诗歌
poet	n. 诗人
nuisance	n. 讨厌的人或行为；麻烦事
fancy	n. 幻想；想象力；喜欢；爱好
layout	n. 布局；安排；设计
debt	n. 债务；欠款
shiver	v. & n. 颤抖；哆嗦
brief	a. 简短的；简洁的；短暂的
organ	n. 器官；机构；管风琴
organic	a. 有机的
board	n. 木板； 董事会；伙食膳食 v. 上 （船、 车、 飞机）；
switch	n. 开关；转换 v. 转变；改变；转换
formula	n. 公式；方程式；配方
world-wide	a. 遍及全世界的
queue	n. 队列 vi. 排队；排队等候
neglect	n & v. 忽略；忽视
string	n. 线；绳；一串 vt. 串起；悬挂
fuel	n. 燃料 v. 加油；加剧
steel	n. 钢铁；钢
melt	v. 使融化；使熔化
cope	vi. 应付；处理；对抗
keen	a. 热衷的；强烈的；敏锐的；锋利的
tidy	a. 整洁的；整齐的 v. 整理；使整齐
balance	n. 平衡；余额 v. 保持平衡
utter	a. 完全的；彻底的 vt. 说出；讲
vast	a. 巨大的；大量的；巨额的；广阔的
era	n. 时代；年代；纪元
scatter	vt. 撒播；撒 v. 驱散 n. 散落
tense	a. 紧张的；紧绷的 v. 拉紧 n. 时态
tension	n. 紧张；拉近；张力
intense	a. 强烈的；剧烈的
intensive	a. 加强的；密集的
craft	n. 工艺；手艺；飞行器
spur	n. & v. 刺激；鼓舞
swear	v. 发誓；宣誓；咒骂；说脏话
dash	vi. 猛冲 v. 使……破灭 n. 破折号；少量
harsh	a. 严厉的；恶劣的；粗糙的
hollow	a. 空的；中空的；凹陷的；虚伪的
raw	a. 生的；未加工的；原始的
strategy	n. 战略；策略
coarse	a. 粗的；粗糙的；粗俗的
deficit	n. 赤字
soak	v. 浸泡
dump	n. 垃圾场 vt. 倾倒；倾销
facilitate	v. 促进；促使
flesh	[fleʃ］n. 肉；皮肤；果肉
bound	a. 可能会…的；有义务的；受约束的 n. 界限；限
elite	n. 社会精英
elect	v. 选举
welfare	n. 福利；幸福
sorrow	n. 悲伤；悲痛
sorrowful	a. 悲伤的
drag	v. 拖；拉
faculty	n. 天赋；能力；系；院；全体教职人员
nevertheless	ad. 然而；不过；尽管如此
split	v. 分裂；分开；分手
cultivate	v. 耕种；培养
foster	v. 促进；助长；抚养
hazard	n. 危险；危害
hazardous	a. 危险的；有害的
severe	a. 严重的；严厉的；恶劣的；严峻的
trap	n. 陷阱；圈套 vt. 陷入困境；捕捉
agriculture	n. 农业
sway	vi. 摇动 vt. 影响；使动摇
device	n. 装置；方法；手段
ripe	a. 熟的；时机成熟的
wander	v. 徘徊；漫步；迷路
cast	vt. 投；扔；抛
diagnose	v. 诊断
diagnosis	n. 诊断；判断
compose	v. 组成；创作；使镇静
composition	n. 构成；作品；作文
component	n. 成分；部件
compound	n. 复合物 a. 复合的 v. 使恶化
impose	v. 把…强加于；强制实行
expose	v. 使暴露；揭露
exposure	n. 面临；暴露；揭发
dispose	v. 布置；安排
luxury	n. 奢侈；奢华
luxurious	a. 奢侈的；豪华的
notion	n. 观念；信念；理解
discipline	n. 纪律；训练；科目 vt. 训练；惩罚
filter	v. 过滤 n. 过滤器
blast	n. 爆炸；突如其来的强劲气流 vt. 炸毁；爆破
postpone	v. 延迟；延期
delay	v. & n. 延迟；延期
guarantee	n. & vt. 保证；担保
launch	vt. 发射；发起；发行
identical	a. 相同的
transfer	v. & n. 转移；搬迁
transmit	vt. 传输；输送；传染
transit	n. 运输；通过；交通运输体系
transition	n. 过渡；转变
transaction	n. 交易；办理
transparent	a. 透明的；显而易见的
clarify	v. 使清楚；澄清
classify	vt. 分类；归类
identify	v. 确认；认出；鉴定
modify	vi. 被修饰；修改 vt. 改变；缓和
specify	vt. 具体说明；详述
verify	vt. 核实；查证
crucial	a. 关键性的；极其重要的
cruise	vi. & n. 巡游；漫游；巡航
currency	n. 货币；流通
curriculum	n. 课程
amateur	n. 业余爱好者 a. 业余的
technique	n. 技巧；技能；技术
accurate	a. 精确的；准确的
overcome	v. 战胜；克服；压倒
overlook	vt. 忽视；检查；俯瞰；n. 从高处看到的景色
incentive	n. 动机；刺激
liable	a. 有责任的；有…倾向的
considerable	a. 相当大（或多）的
applicable	a. 适当的；可应用的
application	n. 应用；申请；应用程序（APP）
available	a. 可获得的；有空的；可购得的
remarkable	a. 卓越的；值得注意的；非凡的
remark	v. & n. 评论
invaluable	a. 非常宝贵的；无价的
inevitable	a. 不可避免的；必然发生的
indispensable	a. 不可缺少的
virtually	ad. 实质上；事实上；几乎
emerge	vi. 浮现；暴露；摆脱
emergence	n. 出现；发生；浮现
emergency	n. 紧急情况；突发事件 a. 紧急的
emit	vt. 发出，射出，散发（光、热、声音、气等）
emission	n. 发射；喷射；散发
eliminate	vt. 排除；消除；淘汰
effective	a. 有效的；起作用的
efficient	a. 有效率的
evaporate	vi. 失踪；消失 vt. 使脱水；使蒸发
erect	v. 建立；竖立；创立 a. 直立的；垂直的
evolve	v. 发展；进化
ratio	n. 比；比率；比例
manner	n. 方式；举止；礼貌
manipulate	vt. 操作；操纵
illustrate	vt. 阐明；举例说明
comprehend	v. 理解
comprehension	n. 理解
comprehensive	a. 广泛的；综合的
urban	a. 都市的
rural	a. 乡下的；农村的
awkward	a. 尴尬的；笨拙的
commerce	n. 商业；商务
commercial	a. 商业的 n. 广告
merchant	n. 商人
origin	n. 起源；开端
original	a. 原来的；首创的
orient	vt. 确定方向；使适应
oriental	a. 东方的；东方人的
dominate	v. 支配；占有优势
dominant	a. 占优势的；统治的
defect	n. 瑕疵；缺点
deficient	a. 不足的；有缺陷的
sufficient	a. 足够的；充分的
possess	v. 拥有；掌握
possession	n. 拥有；财产
settle	vt. 解决；安排；定居
reside	vi. 居住在
residence	n. 住处；住宅
resident	n. 居民 a. 居住的
assess	vt. 评定；估价
constant	a. 不断的；恒定的
consistent	a. 一致的；连续的
violent	a. 暴力的；猛烈的
urgent	a. 急迫的；紧急的
innocent	a. 无辜的；无知的
ingredient	n. 组成部分；原料
reluctant	a. 不情愿的
relevant	a. 相关的
territory	n. 领土；领域
rotate	v. 旋转；轮流
automatic	a. 自动的
automate	v. 自动化
betray	vt. 出卖；背叛；泄露；辜负
motivate	vt. 使有动机；刺激；激发…的积极性
motivation	n. 动机；动力
merit	n. 优势；优点；功绩
remote	a. 遥远的；偏僻的；远程的
accustom	vt. 使习惯；使适应
variable	n. 变量 a. 多变的；易变的
addition	n. 增加；加法
additional	a. 额外的；附加的
maintain	vt. 维持；维修
retain	vt. 保持；保留
attain	v. 达到；获得
contain	vt. 包含；容纳
entertain	vt. 热情款待；使娱乐
sustain	vt. 维持（生命、生存）
obtain	vt. 获得；得到
continent	n. 大陆；洲
allege	vt. 断言；宣称
alleged	a. 声称的；被断言的；涉嫌的
gradual	a. 逐渐的；逐步的
manual	a. 手工的；手动的 n. 说明书
enhance	vt. 提高；增加；加强
bacteria	n. (bacterium 的复数）细菌
virus	n. 病毒
trigger	n. 扳机 vt. 引发；触发
negotiate	vi. 谈判；协商；交涉
ban	v. & n. 禁止
cater	v. 提供饮食及服务；迎合
clash	v. & n. 冲突；争论
curb	n. 抑制，控制
therapy	n. 治疗；疗法
tough	a. 坚强的；艰苦的
tackle	vt. 处理；应付
element	n. 元素；要素
mend	vt. 修理；修补
coincidence	n. 巧合
trace	n. 痕迹 vt. 追踪；追溯
issue	n. 争论的问题 v. 公布；发行
swallow	n. 燕子 v. 吞下；咽下
leap	v. 跳；跃 n. 跳跃；激增
hatred	n. 仇恨；憎恨；敌意
evil	a. 坏的；邪恶的 n. 邪恶；祸害
undermine	vt. 逐渐削弱；破坏；暗中损害
highlight	vt. 强调；彰显 n. 亮点；最精彩的部分
feedback	n. 反馈
framework	n. 框架；结构；体制
fulfill	vt. 履行；满足；完成；实现
headline	n. 标题；新闻提要 vt. 给……加标题
farewell	n. 告别；欢送
headquarters	n. 司令部；总部
copyright	n. 版权；著作权
counterpart	n. 职位(或作用)相当的人；对应的事物
harness	vt. 利用；控制；给……上挽具
tragedy	n. 悲剧；惨事；惨案
wreck	n. 失事；残骸 vt. 破坏；毁坏
equip	vt. 装备；配备；使有能力
draft	n. 草稿；草案 vt. 起草；草拟
masterpiece	n. 杰作；代表作；名著
haste	n. 急速；急忙；草率
mercy	n. 仁慈；慈悲；恩惠
mercifully	ad.（不幸中）幸运地
item	n. 条款；一条；项目
straightforward	a. 简单的；易懂的；坦率的
guideline	n. 指导方针；指南；准则
boast	v. 夸耀；吹嘘 n. 自夸；夸耀
strike	vi. 撞击；罢工；突然想到
strive	vi. 努力；奋斗
crude	a. 天然的；粗略的；粗鲁的
rouse	vt. 激起；使振奋；唤醒
chill	v. (使）变冷；使感到害怕 n. 寒冷；害怕 a. 寒冷的
rear	n. 后部；背面；臀部 a. 后面的 vt. 抚养；饲养
worship	n. 礼拜；崇拜 vt. 崇拜；爱慕
horizon	n. 地平线；眼界；视野
horizontal	a. 水平的
twist	vt. 扭曲；扭伤；拧 n. 扭曲；转动
sting	v. & n. 刺；刺痛
fade	v. (使）褪色 vi. 淡出；逐渐消失
rival	n. 对手；竞争者 vt. 竞争
fierce	a. 凶猛的；猛烈的；激烈的；强烈的
grasp	vt. 抓紧；抓住；理解 n. 掌握；理解（力）
dull	a. 呆滞的；迟钝的；无聊的；暗淡的；阴暗的
swell	v. 肿胀
weave	v. 编织
mature	a. 成熟的 v. 成熟
fatigue	n. 疲劳；劳累
bold	a. 大胆的；英勇的；醒目的；粗体的；冒失的
slide	v. 滑动；下滑；衰落 n. 幻灯片；滑动；滑梯
render	vt. 提供；翻译；表达；回报
earnest	a. 认真的；真诚的；诚挚的
ease	n. 容易；安逸 vt. 缓和；减轻
scheme	n. 计划；阴谋 v. 密谋
somehow	ad. 由于某种原因；不知怎么地
breed	n. 品种 v. 繁殖；养育；引起
banknote	n. 钞票；纸币
thrive	vi. 兴旺；繁荣；旺盛
vain	a. 徒劳的；自负的；无结果的
well-off	a. 富裕的
spoil	vt. 破坏；溺爱
idle	a. 空闲的；闲散的；懒散的；无用的
realm	n. 领域；范围；王国
clue	n. 线索；提示
stuff	n. 东西；材料 vt. 装；填；塞
swing	v. 摇摆；转向；转动 n. 秋千；摇摆
crack	n. 裂缝；缝隙 v. (使）破裂
virtue	n. 美德；德行；优点
gap	n. 缺口；差距；间隔
brilliant	a. 明亮的
gross	a. 总的；粗鲁的；严重的；令人恶心的
crush	v. 压碎；压坏
forthcoming	a. 即将发生的
triumph	n. 胜利；成功 vi. 战胜
old-fashioned	a. 陈旧的；过时的；守旧的
durable	a. 耐用的；持久的
regret	vt. 后悔；对……感到遗憾 n. 懊悔
blind	adj. 盲的；瞎的；盲目的；未察觉的
relation	n. 关系；联系；亲戚
burst	v.（使）爆裂；vi. 猛冲；突然出现 n. 突发；裂口
scream	v./n. 尖叫；vt. 高声喊；vi. 呼啸而过
bright	adj. 明亮的；聪明的；鲜艳的
rough	adj. 粗糙的；粗略的；粗暴的；恶劣的；艰难的
drought	n. 干旱；旱灾
secretary	n. 秘书；干事；大臣
edge	n. 边缘；优势
bench	n. 长凳；条凳；工作台
wine	n. 酒；葡萄酒
basin	n. 盆；洗脸盆；盆地；流域
wheel	n. 轮；车轮
wound	n.（身体或心灵上的）伤；伤口
valley	n. 流域；山谷；溪谷
sink	v.（使）下沉 n. 水池；水槽
area	n. 区域；地区；范围；面积
type	n. 类型；典型 v. 打字
soil	n. 土壤；土地
south	n. 南方；南部 adj. 南的 adv. 在南方；向南方
southwest	n. 西南方 adj. 西南的 adv.往西南; 来自西南
southern	adj. 南的；南方的 n. 南；南方 adv. 在南方
southeast	n. 东南；东南地区 adj. 东南的 adv. 来自东南
prisoner	n. 囚犯
wedding	n. 婚礼
tip	n. 尖端；末端；建议；小费
ordinary	adj. 平常的；平凡的
coal	n. 煤；煤块
period	n. 阶段；时期；经期
wheat	n. 小麦
century	n. 世纪；百年
dawn	n. 黎明；拂晓；开端
republic	n. 共和国；共和政体
bias	n. 偏见；偏爱 vt. 使有偏见；使偏向
dove	n. 鸽子；温和派人物
gas	n. 煤气；气体；汽油；天然气
dust	n. 灰尘；尘土；粉末
block	n. 大块；街区；大楼；障碍物 vt. 堵住；拦截
crop	n. 庄稼；作物；收成 vt. 剪裁；剪短
downstairs	adv. 在楼下；往楼下 n.楼下
ahead	adv. 在前；向前；预先；领先
devil	n. 魔鬼；撒旦；淘气鬼
gossip	n. 流言蜚语；闲聊 vi. 说三道四
forest	n. 森林；森林地带
among	prep. 在……中间；……之一
fork	n. 餐叉；叉；岔口
cave	n. 山洞；洞穴；窑洞
chimney	n. 烟囱；裂缝
north	n. 北；北方 adj. 北方的 adv. 向北
northern	adj. 北方的；北部的
northwest	n. 西北 adj. 位于西北的；向西北
northeast	n. 东北 adj. 位于东北的 adv. 向东北
honest	adj. 诚实的；正直的；坦率的
equipment	n. 装备；设备；配备
scold	vt. 训斥；责骂
geography	n. 地理；地理学；地形
further	adv. 更远地；此外 adj. 更多的
remove	vt. 以移开；搬走；脱掉
mouse	n. 老鼠；耗子 （mice 复数）
pale	adj. 苍白的；浅色的；微弱的；暗淡的
native	adj. 本地的；土著的 n. 本地人
cage	n. 笼；鸟笼
peasant	n. 农民
theory	n. 理论；原理
medal	n. 奖章；勋章
tin	n. 锡；罐；罐头
shore	n. 岸；滨
anyhow	adv. 尽管如此；随便地
anyone	pron. 任何人
anybody	pron. 任何人
anything	pron. 任何事物
anyway	adv. 无论如何；反正；尽管如此；至少
anywhere	adv. 无论何处；在任何地方
strength	n. 力量；毅力实力；长处
wise	adj. 明智的；充满智慧的；英明的
peer	n. 同龄人 vi. 盯着看；端详
enemy	n. 敌人；仇敌
below	prep. 在……下面；低于
collar	n. 衣领；项圈 vt. 抓住
political	adj. 政治的；党派的
cow	n. 母牛；奶牛 v. 恐吓；胁迫
gather	ν. 聚集；集合；vt. 收集
quarrel	n. / v. 争吵
cheque	n. 支票
goose	n. 鹅
ham	n. 火腿
natural	adj. 自然界的；天然的；天生的；正常的
pan	n. 平底锅；秤盘
scent	n. 香味；气息；察觉 vt. 嗅出；觉察出
noble	adj. 贵族的；高尚的；宏伟的
ought	aux. / v. 应当；应该
sheet	n. 被单；纸张；薄板；一张；一大片
neat	adj. 整洁的；简洁的；纯的
pure	adj. 纯粹的；纯的
melon	n. 瓜；甜瓜
heaven	n. 天堂；极乐世界；天空
tailor	n. 裁缝 vt. 订做
silver	n. 银；银币；银器；银色 adj. 银色的
tobacco	n. 烟草；烟叶；烟草制品
spirit	n. 精神；心灵；灵魂；志气
indeed	adv. 真正地；确实其实；实际上
shrink	v.（使）缩小；（使）收缩；vi. 缩水；退缩
land	n. 陆地；土地；地区 v. 使降落；使着陆
willing	adj. 乐意的；自愿的；心甘情愿的
pile	n. 堆 vt. 堆叠
thick	adj. 厚的；粗的；浓密的；黏稠的
mode	n. 方式；模式；状态
pork	n. 猪肉
cruel	adj. 残忍的；残酷的
root	n. 根；根源；根基 vt. 生根
escape	v. / n. 逃跑；漏出
fare	n. 车费；船费 vi. 进展
forge	v. 伪造；锻造；vi. 稳步前进
cheese	n. 乳酪；干酪
percent	n. 百分之……
cotton	n. 棉；棉线；棉布
depth	n. 深；深度
fault	n. 缺点；过失；故障
pity	n. 同情；怜悯；遗憾 vt. 同情
communism	n. 共产主义
communist	n. 共产主义者 adj. 共产主义的
advance	n. / v. 前进；（使）进展 adj. 事先的
mad	adj. 疯的；气愤的；极愚蠢的；痴迷的
freeze	v.（使）冻结；冷藏；（使）结冰
brush	n. 刷子；毛刷；画笔；灌木丛 v. 刷；涂
fridge	（亦作 refrigerator）n. 电冰箱
quarter	n. 四分之一；一刻钟；季度
fellow	n. 男人；家伙；伙伴；同事
exhibition	n. 展览；表现；展览会
headache	n. 头痛；令人头痛的事
row	n. 排；吵架；纠纷；大的噪音 v. 吵架
scarce	adj. 缺乏的；稀少的 adv. 几乎不；简直不
harvest	n 收获；收成 v. 收割；捕猎
greeting	n. 问候；招呼；致敬；迎接
greet	vt. 问候；招呼；迎接；对……作出反应
labour	（亦作 labor）n. 劳动；工作；劳工
mirror	n. 镜子；写照 vi. 反映
modern	adj. 现代的；近代的；新式的
nut	n. 坚果；螺母
elegant	adj. 优雅的；文雅的
square	n. 平方；广场；正方形 adj. 平方的；正方形的
operate	v. 操作；运营；vi. 运转；动手术
machine	n. 机器；机械装置
shallow	adj. 浅的；肤浅的；弱的
twin	n. 双胞胎中一人 adj. 双胞胎的；成双的
ladder	n. 梯子；阶梯
whereas	conj. 然而；但是；尽管
international	adj. 国际的
penny	n.（英）便士；（美）分
scene	n. 情景；景象；场面；片段
increase	v. 增加；（使）增加；（使）增长
hole	n. 洞；孔；眼；巢六；漏洞
garage	n. 车库；汽车修理厂
fond	adj. 喜爱的；温情的
destroy	vt. 破坏；毁坏
energy	n. 活力；精力；能源；能量
bother	v. 麻烦；打扰 n. 麻烦；困难
above	prep. 在……上面； 超过 adv.在……上面 adj.上述的
honour	（亦作 honor）n. 荣幸；尊敬；敬意 vt. 尊敬
seek	v. 寻找；谋求；试图
medical	adj. 医学的；医疗的
wipe	v. 擦；拭；抹；消除
midday	n. 中午；正午
roof	n. 屋顶；顶部
quantity	n. 数量；大量
exist	vi. 存在；生存
generation	n. 一代；一代人；产生
refer	v. 谈及；查阅；参考；提交
dialogue	n. 对话；对白
cream	n. 奶油；乳脂；奶油色
bone	n. 骨；骨质
deed	n. 行为；行动；契约；证书
bury	vt. 埋葬；葬；n. 埋藏
cent	n. 分；分币
coast	n. 海岸；海滨
inch	n. 英寸；少量；短距离
envelope	n. 信封
handkerchief	n. 手帕；纸巾
regular	adj. 定期的；经常的 n. 常客
model	n. 模型；模范；模特儿 v. 做模型 adj. 模范的
pleasure	n. 愉快；快乐；乐事；满足；娱乐
pot	n. 锅；壶；罐
length	n. 长；长度；一段；篇幅
plain	adj. 清楚的；朴素的；平凡的；坦诚的 n. 平原
nail	n. 指甲；趾甲；钉 vt. 钉
sweater	n. 毛线衣；针织衫
patent	n. 专利权 adj. 明显的；有专利的 vt. 获得专利权
treasure	n. 珠宝；财富；宝物 vt. 珍视；珍藏
shade	n. 阴凉处；遮光物；阴暗的 v. 为……遮阳
tale	n. 故事；传说
branch	n. 树枝；分支；支路 v .分开；分岔
bush	n. 灌木；灌木丛；荒野
laboratory	（亦作 lab）n. 实验室；研究所
shelf	n. 架子；搁板；大陆架
internet	n. 因特网
within	prep. 在…之内 adv. 在内部
temper	n. 脾气；怒气；情绪 v. 使缓和；使温和
soldier	n. 军人；士兵；战士
prison	n. 监狱；监禁
medicine	n. 药；医学
sort	n. 种类；分类 v. 整理；妥善处理
throughout	prep. / adv. 贯穿；遍及；到处
sweep	v. 扫；打扫；扫过
seize	v. 抓住；逮捕；夺取
otherwise	adv. 否则；要不然；另外
pleasant	adj. 令人愉快的；友好的；可喜的
needle	n. 针；编织针；指针；松针；针头
proper	adj. 正确的；恰当的；合乎体统的
mouth	n. 嘴；口；出入口
sail	n. 帆；船 v. 航行
hatch	v. 孵出；孵化；策划 n. 舱口；舱门
flow	v. 流动；流通 n. 流动；流畅
peach	n. 桃子；桃红色 adj. 桃红色的
fist	n. 拳头
lip	n. 嘴唇；边沿
seed	n. 种子；籽；萌芽；起源
particular	adj. 特殊的；特定的；挑剔的
mailbox	n. 邮筒；信箱；电子邮箱
code	n. 密码；道德准则；法典 vi. 为……编码
boil	v.（使）沸腾；煮沸；烧开
district	n. 区；地区；区域
cottage	n. 村舍；小屋
hereby	adv. 特此；以此
jail	n. 监狱 vt. 监禁
sketch	v. 画素描；概述 n. 素描；小品；概述
thought	n. 思想；思考；想法；关心
stair	n. 楼梯
iron	n. 铁；熨斗 v. 熨；烫平 adj. 坚强的
tap	n. 水龙头 v. 轻敲；轻拍；轻叩；开发
upward	adj. 向上的；上升的 adv. 向上
tight	adj. 紧的；牢固的；绷紧的；严厉的
surface	n. 表面；表层；外观
physics	n. 物理学
sight	n. 视力；视觉；情景；景点
path	n. 路；小道；道路
narrow	adj. 狭窄的；勉强的；独隘的
ceiling	n. 天花板；顶棚；上限
accept	v. 接受；忍受；同意
diet	n. 饮食 v. 节食
pledge	v. 正式承诺；使保证 n. 保证；誓言
servant	n. 仆人；佣人；职员
metal	n. 金属
phrase	n. 短语；词组；成语；惯用语
telegram	n. 电报
steak	n. 牛排；肉排；鱼排
ski	v. 滑雪
technical	adj. 技术的；工艺的；专业的
puzzle	n. 谜；智力游戏；难题 v. 使迷惑
spoon	n. 匙；勺子；一匙的量
pearl	n. 珍珠
upstairs	adv. 在楼上；往楼上 adj. 楼上的 n. 楼上
thief	n. 小偷；贼
pipe	n. 管子；管道；烟斗；管乐
broad	adj. 宽阔的；广泛的；概括的；辽阔的
port	n. 港；港口；港口城市
opposite	adj. 对面的 n. 对立的人 （物）prep. 在……对面
heat	n. 热；温度 v. 变热；加热
pupil	n. 学生；小学生；门徒；瞳孔
saw	n. / v. 锯
fair	adj. 适当的；公正的；漂亮的 n. 集市
click	v. 点击；（使发出）咔嗒声
goat	n. 山羊
dozen	n. 十二个；一打；许多
castle	n. 城堡
camp	n. 营地；兵营 v. 宿营
equal	adj. 相等的；平等的；能胜任的
cock	n. 公鸡；雄禽
blame	vt. 责怪；把……归咎于 n. 责任
dial	v. 拨（电话号码）n. 表盘；刻度盘
chaos	n. 混乱；杂乱；紊乱
hack	v. 砍；非法侵入 n. 侵入
slave	n. 奴隶 vi. 苦干
tongue	n. 舌头；语言；说话方式
tire	vt.（使）感到累 n. 轮胎
bitter	adj. 苦的；痛苦的；怨恨的；严寒的
button	n. 纽扣；按钮；徽章 v. 扣上
hall	n. 门厅；过道；礼堂
drown	v. 溺死；淹没
cell	n. 细胞；小房间；牢房
party	n. 聚会；党；党派
wage	n. 工资；工钱
flight	n. 航班；飞行；逃跑
fence	n. 栅栏；障碍物
affair	n. 事情；事件；暧昧关系
chalk	n. 粉笔
bend	v.（使）倾斜；弯曲；弯腰
cough	n. / v. 咳嗽
chain	n. 链；链条；一连串 vt. 用锁链拴
operation	n. 操作；手术；运算；行动；运转
throw	v. 投；抛；掷；扔
slip	v. 滑倒；脱落；下降；溜走；陷入
disk	（亦作 disc）n. 磁盘
league	n. 同盟；联盟；联合会；级别；水平
corn	n. ( 英）谷物；（美）玉米
fetch	v. 拿来；请来；接来；卖得
haul	v. 拖；拉；用力缓慢挪动到 n. 大批赃物
situation	n. 形势；情况；位置
olympic	adj. 奥林匹克运动会的
poll	n. 民意测验；计票；投票数 v. 获得（票数）
haunt	v. 出没；难以忘却 n.常去的场所
church	n.教堂；礼拜堂；礼拜；教派
dare	v. / aux. 敢；敢于 n. 挑战；激将
broadcast	n. 广播 v. 播送；散布
solid	adj. 固体的；结实的；可靠的固体
altogether	adv. 全部地；完全地；总共；总而言之
bite	v. 咬；叮；咬铒；上钩
obey	v. 服从；遵守
plough	n. 犁 v. 犁；耕
edit	vt. 编辑；校订；剪辑；主编
quality	n. 质量；品质；特性
fever	n. 发烧；发热；激动不安
presently	adj. 不久；目前
plantation	n. 种植园；人造林
attic	n. 阁楼；顶楼
bulletin	n. 新闻简报；公告
discrimination	n. 歧视；偏相；区别；识别
marsh	n. 沼泽；湿地
pine	n. 松树；松木 v. 悲伤；难过
breadth	n. 宽度；阔度；广泛
route	n. 路线；途径
marathon	n. 马拉松赛跑；马拉松式的活动
ash	n. 灰；灰烬；骨灰
brandy	n. 白兰地（酒）
lid	n. 盖子
brag	v. 吹噓；夸耀
column	n. 柱；支柱；圆柱；栏；专栏
boom	n. 繁荣；激增 v. 繁荣昌盛；轰鸣
rumour	（亦作 rumor）n. 谣言
tube	n. 管；管状物；软管
colony	n. 殖民地；群；群体
blur	v.（使）模糊不清 n. 模糊形状
physicist	n. 物理学家
arrow	n. 箭；箭头
terror	n. 恐怖；惊骇；小捣蛋
approval	n. 赞成；同意；批准
portable	adj. 轻便的；手提的；便携式的
trunk	n. 树干；大衣箱；象鼻；躯干
ancestor	n. 祖宗；祖先
thunder	n. 雷（声）v. 打雷；怒吼
imperial	adj. 帝国的；（度量衡）英制的
jewel	n. 宝石；珠宝首饰；宝贝
insect	n. 昆虫
knit	v. 编织；(使)紧凑
incidence	n. 发生率；发生范围
christ	n. 基督；耶稣基督
christian	n. 基督教徒 adj. 基督教的；基督教徒的
infant	n. 婴儿；幼儿 adj. 供婴幼儿用的；初期的
troublesome	adj. 令人烦恼的；引起麻烦的
indication	n. 迹象；表示；表明
pillar	n. 柱子；核心；支柱
industrialize	v.（使）工业化
indirect	adj. 间接的；迂回的
gang	n. 帮；一伙；一群
thumb	n. 拇指 v. 示意要求搭车
decoration	n. 装饰；装饰品
fuss	n. 大惊小怪；大发牢骚 v. 过分关心；瞎忙活
deck	n. 甲板；舱面；层面 v. 装饰
portrait	n. 肖像；描绘
funeral	n. 葬礼；丧礼
theoretical	adj. 理论（上）的
customs	n. 海关；关税
operational	adj. 操作上的；可使用的
operator	n. 操作人员；接线员；经营者
frost	n. 霜；严寒天气；冰冻（期）v.（使）结霜
database	n. 资料库；数据库
rope	n. 粗绳；绳索 vt. 用绳捆
trim	adj. 整齐的；苗条的 vt. / n. 修剪；装饰（物）
freight	n. 货运；货物 vt. 货运
crown	n. 王冠；冕；花冠；桂冠；冠军
ministry	n.（政府的）部；神职；牧师职位
clay	n. 粘土；泥土
fortunately	adv. 幸运地
thrust	v. 插；刺；猛推 n. 插；戳；推力；要点
claw	n. 爪；脚爪；蝥
flock	n. 群；一大群 vi. 群集；聚集；蜂拥
basically	adv. 基本上；从根本上说
banquet	n. 宴会
classification	n. 分类；分级；类别；等级分类法
zone	n. 地区；区域
explosive	adj. 易爆炸的；猛增的；暴躁的 n. 炸药
beard	n. 胡须；络腮胡子
pad	n. 垫；爪垫；便笺本 v. 填充；轻步行为
experimental	adj. 实验性的；试验性的
belly	n. 腹部；肚子 v. 隆起；鼓起
trifle	n. 琐事；有点儿；稍微
mainland	n. 大陆
aside	adv. 在旁边；撇开 n. 旁白
marshal	n. 元帅；司仪；执行官 vt. 安排
chop	v. 砍；劈；切碎；削减；降低
revolutionary	adj. 革命的 n. 革命者
exceedingly	adv. 非常；极其
bible	n. 基督教的《圣经》
naturally	adv. 自然地；天然地；大方地
altitude	n. 海拔；高度；高处
emperor	n. 皇帝
mystery	n. 神秘（性）；神秘的事物；悬疑（故事）
ridiculous	adj. 荒谬的；可笑的
lord	n. 贵族；上帝；（尊称）大人；阁下
alley	n. 小街；小巷；胡同
parcel	n. 包裹；邮包；一块地
philosopher	n. 哲学家
elbow	n. 肘；肘部 v. 用肘推
psychological	adj. 心理的；心理学上的
psychology	n. 心理学；心理
mushroom	n. 蘑菇 vi. 迅速发展；快速增长
loop	n. 圈；环；循环；环线
alert	adj. 警惕的；机敏的 n. 警戒 vt. 使警觉
